Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","SMD-0603",97.218500,-55.562500,90.000000,top
"C2","100n","SMD-0603",103.314500,-55.562500,90.000000,top
"C3","100n","SMD-0603",46.228000,-45.466000,270.000000,top
"C4","100n","SMD-0603",141.478000,-37.719000,270.000000,top
"C5","100n","SMD-0603",65.278000,17.526000,270.000000,top
"C6","100n","SMD-0603",103.378000,20.320000,270.000000,top
"C7","100n","SMD-0603",103.378000,-1.905000,270.000000,top
"C8","100n","SMD-0603",84.328000,-39.116000,270.000000,top
"C9","100n","SMD-0603",46.228000,-7.620000,270.000000,top
"C10","100n","SMD-0603",103.378000,-22.860000,270.000000,top
"C11","100n","SMD-0603",65.278000,-5.270500,270.000000,top
"C12","100n","SMD-0603",27.813000,-80.010000,125.000000,top
"C13","100n","SMD-0603",85.344000,-55.626000,90.000000,top
"C14","100n","SMD-0603",27.114500,-21.653500,270.000000,top
"C15","100n","SMD-0603",84.328000,23.495000,270.000000,top
"C16","100n","SMD-0603",122.428000,12.954000,270.000000,top
"C17","100n","SMD-0603",141.478000,-20.320000,270.000000,top
"C18","100n","SMD-0603",141.478000,-56.578500,270.000000,top
"C19","100n","SMD-0603",65.278000,-24.384000,270.000000,top
"C20","100n","SMD-0603",46.228000,17.526000,270.000000,top
"C21","100n","SMD-0603",122.428000,-12.293500,270.000000,top
"C22","100n","SMD-0603",84.328000,-0.889000,270.000000,top
"C23","100n","SMD-0603",46.228000,-4.000500,90.000000,top
"C24","100n","SMD-0603",141.478000,4.699000,270.000000,top
"C25","100n","SMD-0603",16.941750,-59.008005,300.000000,top
"C26","100n","SMD-0603",70.104000,-59.817000,270.000000,top
"C27","100n","SMD-0603",17.970500,-66.040000,125.000000,top
"C28","100n","SMD-0603",122.428000,-35.458500,270.000000,top
"C29","100n","SMD-0603",27.178000,17.551500,270.000000,top
"C30","100n","SMD-0603",46.228000,-25.781000,270.000000,top
"C31","100n","SMD-0603",11.811000,-62.738000,310.000000,top
"C32","100n","SMD-0603",103.378000,-39.814500,270.000000,top
"C33","100n","SMD-0603",65.341500,-42.862500,270.000000,top
"C34","100n","SMD-0603",84.328000,-20.828000,270.000000,top
"C35","100n","SMD-0603",122.428000,-50.609500,270.000000,top
"C36","100n","SMD-0603",51.689000,-58.420000,90.000000,top
"C37","100n","SMD-0603",10.668000,-24.511000,180.000000,top
"C38","100n","SMD-0603",23.368000,-15.875000,0.000000,top
"C39","100n","SMD-0603",23.114000,-26.162000,0.000000,top
"C40","10u","SMD-0603",10.668000,-20.574000,0.000000,top
"C41","100n","SMD-0603",12.573000,-15.875000,180.000000,top
"C42","1u","SMD-0603",9.144000,-35.306000,180.000000,top
"C43","10u","SMD-0603",21.336000,-4.064000,180.000000,top
"C44","10u","SMD-0603",21.336000,-10.223500,180.000000,top
"C45","10u","SMD-0603",19.367500,-50.317400,180.000000,top
"C46","20p","SMD-0603",16.256000,-27.406600,180.000000,top
"C47","20p","SMD-0603",20.320000,-30.226000,270.000000,top
"C48","100n","SMD-0603",66.040000,-60.261500,285.000000,top
"C49","100n","SMD-0603",136.017000,-48.514000,270.000000,top
"C50","100n","SMD-0603",135.890000,-10.541000,270.000000,top
"C51","100n","SMD-0603",97.536000,7.874000,270.000000,top
"C52","100n","SMD-0603",40.513000,0.190500,270.000000,top
"C53","100n","SMD-0603",25.781000,-77.089000,305.000000,top
"C54","100n","SMD-0603",10.668000,-26.289000,180.000000,top
"D1","1N4148","D_SOD-123",19.050000,-70.421500,130.000000,top
"D2","1N4148","D_SOD-123",33.634496,-88.453594,125.000000,top
"D3","1N4148","D_SOD-123",27.178000,5.588000,90.000000,top
"D4","1N4148","D_SOD-123",27.178000,-13.716000,90.000000,top
"D5","1N4148","D_SOD-123",27.203400,-32.766000,90.000000,top
"D6","1N4148","D_SOD-123",21.717000,-68.516500,120.000000,top
"D7","1N4148","D_SOD-123",30.670500,-84.201000,125.000000,top
"D8","1N4148","D_SOD-123",46.228000,5.461000,90.000000,top
"D9","1N4148","D_SOD-123",46.228000,-13.716000,90.000000,top
"D10","1N4148","D_SOD-123",46.228000,-32.766000,90.000000,top
"D11","1N4148","D_SOD-123",46.228000,-51.562000,90.000000,top
"D12","1N4148","D_SOD-123",50.355500,-75.755500,105.000000,top
"D13","1N4148","D_SOD-123",65.278000,8.128000,90.000000,top
"D14","1N4148","D_SOD-123",65.379600,-10.922000,90.000000,top
"D15","1N4148","D_SOD-123",65.278000,-29.718000,90.000000,top
"D16","1N4148","D_SOD-123",65.278000,-48.768000,90.000000,top
"D17","1N4148","D_SOD-123",70.231000,-70.802500,90.000000,top
"D18","1N4148","D_SOD-123",84.328000,12.954000,90.000000,top
"D19","1N4148","D_SOD-123",84.328000,-6.096000,90.000000,top
"D20","1N4148","D_SOD-123",84.328000,-25.146000,90.000000,top
"D21","1N4148","D_SOD-123",84.328000,-47.371000,90.000000,top
"D22","1N4148","D_SOD-123",89.154000,-72.326500,90.000000,top
"D23","1N4148","D_SOD-123",103.314500,6.286500,90.000000,top
"D24","1N4148","D_SOD-123",103.378000,-13.970000,90.000000,top
"D25","1N4148","D_SOD-123",103.378000,-33.020000,90.000000,top
"D26","1N4148","D_SOD-123",103.314500,-50.927000,90.000000,top
"D27","1N4148","D_SOD-123",122.428000,-4.318000,90.000000,top
"D28","1N4148","D_SOD-123",122.428000,-24.384000,90.000000,top
"D29","1N4148","D_SOD-123",122.428000,-43.434000,90.000000,top
"D30","1N4148","D_SOD-123",122.428000,-62.230000,90.000000,top
"D31","1N4148","D_SOD-123",141.478000,-7.493000,90.000000,top
"D32","1N4148","D_SOD-123",141.478000,-26.416000,90.000000,top
"D33","1N4148","D_SOD-123",141.427200,-45.466000,90.000000,top
"D34","1N4148","D_SOD-123",141.427200,-64.262000,90.000000,top
"D70","LED","LED-0603_flipable",24.892000,-8.890000,90.000000,top
