Designator,Mid X,Mid Y,Layer,Rotation
C1,97.218500mm,-55.562500mm,Top,90
C2,103.314500mm,-55.562500mm,Top,90
C3,46.228000mm,-45.466000mm,Top,270
C4,141.478000mm,-37.719000mm,Top,270
C5,65.278000mm,17.526000mm,Top,270
C6,103.378000mm,20.320000mm,Top,270
C7,103.378000mm,-1.905000mm,Top,270
C8,84.328000mm,-39.116000mm,Top,270
C9,46.228000mm,-7.620000mm,Top,270
C10,103.378000mm,-22.860000mm,Top,270
C11,65.278000mm,-5.270500mm,Top,270
C12,27.813000mm,-80.010000mm,Top,125
C13,85.344000mm,-55.626000mm,Top,90
C14,27.114500mm,-21.653500mm,Top,270
C15,84.328000mm,23.495000mm,Top,270
C16,122.428000mm,12.954000mm,Top,270
C17,141.478000mm,-20.320000mm,Top,270
C18,141.478000mm,-56.578500mm,Top,270
C19,65.278000mm,-24.384000mm,Top,270
C20,46.228000mm,17.526000mm,Top,270
C21,122.428000mm,-12.293500mm,Top,270
C22,84.328000mm,-0.889000mm,Top,270
C23,46.228000mm,-4.000500mm,Top,90
C24,141.478000mm,4.699000mm,Top,270
C25,16.941750mm,-59.008005mm,Top,300
C26,70.104000mm,-59.817000mm,Top,270
C27,17.970500mm,-66.040000mm,Top,125
C28,122.428000mm,-35.458500mm,Top,270
C29,27.178000mm,17.551500mm,Top,270
C30,46.228000mm,-25.781000mm,Top,270
C31,11.811000mm,-62.738000mm,Top,310
C32,103.378000mm,-39.814500mm,Top,270
C33,65.341500mm,-42.862500mm,Top,270
C34,84.328000mm,-20.828000mm,Top,270
C35,122.428000mm,-50.609500mm,Top,270
C36,51.689000mm,-58.420000mm,Top,90
C37,10.668000mm,-24.511000mm,Top,180
C38,23.368000mm,-15.875000mm,Top,0
C39,23.114000mm,-26.162000mm,Top,0
C40,10.668000mm,-20.574000mm,Top,0
C41,12.573000mm,-15.875000mm,Top,180
C42,9.144000mm,-35.306000mm,Top,180
C43,21.336000mm,-4.064000mm,Top,180
C44,21.336000mm,-10.223500mm,Top,180
C45,19.367500mm,-50.317400mm,Top,180
C46,16.256000mm,-27.406600mm,Top,180
C47,20.320000mm,-30.226000mm,Top,270
