Comment,Designator,Footprint,LCSC Part #
100n ,"C1,C2,C39,C38,C41,C37,C54,C53,C50,C51,C49,C52,C48,C24,C7,C3,C4,C5,C6,C19,C8,C10,C9,C14,C11,C12,C22,C16,C17,C18,C15,C13,C20,C28,C21,C23,C25,C27,C30,C29,C26,C32,C33,C34,C31,C35,C36",SMD-0603, C14663
1u ,C42,SMD-0603, C15849
10u ,"C43,C44,C45,C40",SMD-0603,C19702
20p ,"C46,C47",SMD-0603, C1648
LED ,D70,LED-0603_flipable, C268294
1N4148 ,"D8,D13,D18,D23,D27,D31,D4,D9,D14,D19,D24,D28,D32,D10,D15,D20,D25,D29,D33,D1,D6,D11,D16,D21,D26,D30,D34,D2,D7,D12,D17,D5,D22,D3",D_SOD-123, C81598
"3A Resettable fuse, polymeric positive temperature coefficient, small symbol",F1,Fuse_1206_3216Metric,C70085
"1.5A Resettable fuse, polymeric positive temperature coefficient, small symbol",F2,Fuse_1206_3216Metric,C70081
"8MHz Four pin crystal, GND on pins 2 and 4, small symbol",HSE1,Crystal_SMD_3225-4Pin_3.2x2.5mm, C403948
DBG ,J1,PinHeader_1x06_P2.54mm_Horizontal, C376124
PC ,P1,USB_C_Receptacle_MUP_U22401, C168688
Link ,P2,USB_C_Receptacle_MUP_U22401, C168688
SSD1107 ,P3,SSD1107_DISPLAY,C358718
"2N7002 0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",Q1,SOT-23, C8545
"AO3401A -0.18A Id, -60V Vds, P-Channel MOSFET, SOT-23",Q3,SOT-23, C15127
10k ,"R1,R4,R2,R3,R24,R25,R11,R14",SMD-0603, C25804
0 ,"R13,R12,R6,R5",SMD-0603, C21189
2k2 ,R17,SMD-0603, C4190
33 ,"R18,R19",SMD-0603, C23140
1k5 ,"R20,R8,R7",SMD-0603, C22843
220 ,R21,SMD-0603, C22962
100k ,"R22,R27",SMD-0603, C25803
200k ,R23,SMD-0603, C25811
5k1 ,"R9,R10,R26",SMD-0603, C23186
RESET + DFU ,S32,SMD_Tacticle_Switch_TS24CA_flipable, C393942
ALPS EC11 ,SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C370986
"CAT24C512 I2C Serial EEPROM, 16Kb, DIP-8/SOIC-8/TSSOP-8/DFN-8",U1,TSSOP-8_4.4x3mm_P0.65mm,C56096
XC6206P332MR ,U2,SOT-23,C5446
"SRV0504 Very low capacitance ESD protection diode, 4 data-line, SOT-23-6","U3,U4",SOT-23-6, C384888
"STM32F303CCTx ARM Cortex-M4 MCU, 128KB flash, 32KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48",U5,LQFP-48_7x7mm_P0.5mm, C81523
"LMV321 Low-Voltage Rail-to-Rail Output Operational Amplifiers, SOT-23-5/SC-70-5",U6,SOT-23-5, C90297
